SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
ADCK5	17	76177	0.000223164472216023
ADCY1	8	76128	0.000105086170659941
ADCY10	211	76162	0.00277041044090229
ADCY10P1	156	76139	0.00204888427743995
ADCY2	233	76103	0.00306164014559216
ADCY3	22	76130	0.000288979377380796
ADCY4	169	76173	0.00221863389915062
ADCY5	9	76150	0.000118187787261983
ADCY6	11	76124	0.000144501077189848
ADCY6-DT	6	76070	7.8874720652031e-05
ADCY7	105	76178	0.00137835070492793
ADCY8	19	76099	0.000249674765765647
ADCY9	21	76175	0.000275680997702658
ADCYAP1	9	76151	0.000118186235243135
ADCYAP1R1	20	76135	0.000262691272082485
ADD1	102	76115	0.00134007751428759
ADD2	10	76109	0.000131390505722057
ADD3	63	76132	0.000827510114012505
ADD3-AS1	10	76123	0.000131366341316028
ADGB	515	76166	0.00676154714702098
ADGRA1	9	76170	0.000118156754627806
ADGRA1-AS1	3	76118	3.94124911321895e-05
ADGRA2	358	76125	0.00470279146141215
ADGRA3	35	76162	0.000459546755599905
ADGRB1	12	76122	0.000157641680460314
ADGRB2	96	76175	0.00126025598949787
ADGRB3	12	76077	0.000157734926456091
ADGRD1	72	76124	0.00094582523251537
ADGRD1-AS1	3	76143	3.93995508451204e-05
ADGRD2	1343	76195	0.0176258284664348
ADGRE1	177	76195	0.00232298707264256
ADGRE2	1118	76161	0.0146794291041347
ADGRE3	198	76156	0.00259992646672619
ADGRE4P	19	76136	0.000249553430702953
ADGRE5	107	76201	0.00140418104749282
ADGRF1	123	76162	0.0016149785982511
ADGRF2	219	76180	0.00287477028091363
ADGRF3	732	76182	0.00960856895329605
ADGRF4	90	76185	0.00118133490844654
ADGRF5	26	76132	0.000341512110544843
ADGRF5-AS1	1	76095	1.31414679019646e-05
ADGRF5P2	14	76089	0.000183995058418431
ADGRG1	33	76167	0.000433258497774627
ADGRG2	12	56302.5	0.000213134407885973
ADGRG3	148	76168	0.00194307320659595
ADGRG4	178	56362	0.00315815620453497
ADGRG5	25	76126	0.000328402910963403
ADGRG6	34	76109	0.000446727719454992
ADGRG7	223	76162	0.00292796932853654
ADGRL1	19	76153	0.000249497721691857
ADGRL2	27	76093	0.000354828959299804
ADGRL3	19	76115	0.000249622282073179
ADGRL3-AS1	5	76142	6.56667804890862e-05
ADGRL4	54	76111	0.000709490086846842
ADGRV1	213	76154	0.00279696404653728
ADH1A	94	76170	0.00123408165944598
ADH1B	32	76127	0.000420350204263927
ADH1C	64	76169	0.000840236841759771
ADH4	183	76170	0.00240252067743206
ADH5	70	76168	0.000919021111227812
ADH6	186	76135	0.00244302883036711
ADH7	54	76145	0.000709173287806159
ADHFE1	228	76176	0.00299306868304978
ADI1	108	76152	0.00141821619918059
ADI1P2	1	76037	1.31514920367716e-05
ADIG	27	76175	0.000354446997046275
ADIPOQ	21	76117	0.000275891062443344
ADIPOR1	8	76141	0.000105068228681
ADIPOR1P1	10	76160	0.000131302521008403
ADIPOR1P2	2	76071	2.62912279318006e-05
ADIPOR2	27	76103	0.000354782334467761
ADIRF	10	76128	0.000131357713324926
ADIRF-AS1	97	76125	0.00127422003284072
ADK	11	76134	0.000144482097354664
ADM	5	76073	6.57263418032679e-05
ADM-DT	9	76118	0.000118237473396568
ADM2	47	76128	0.000617381252627154
ADM5	28	76180	0.000367550538199002
ADNP	25	76169	0.000328217516312411
ADNP-AS1	14	75917	0.000184411923548085
ADNP2	18	76187	0.00023626077939806
ADO	14	76161	0.000183821115794173
ADORA1	9	76122	0.000118231260345235
ADORA2A	12	76182	0.000157517523824525
ADORA2A-AS1	129	76122	0.00169464806494837
ADORA2B	41	76141	0.000538474671990124
ADORA3	40	76127	0.000525437755329909
ADPGK	26	76164	0.000341368625597395
ADPGK-AS1	4	76179	5.25079090037937e-05
ADPRH	475	76166	0.00623637843657275
ADPRHL1	2512	76184	0.0329728026882285
ADPRM	20	76122	0.000262736134100523
ADPRS	37	76190	0.00048562803517522
ADRA1A	68	76112	0.000893420222829514
