SYMBOL	gene_tot_lof	gene_tot_obs	gene_lof_rate
AKIRIN1	35	730828	4.78908854066894e-05
AKIRIN2	14	730904	1.91543622691899e-05
AKNA	628	730947	0.000859159419219177
AKNAD1	4605	730945	0.00630006361627756
AKR1A1	824	730946	0.00112730625791782
AKR1B1	179	730945	0.000244888466300474
AKR1B10	992	730910	0.00135721224227333
AKR1B15	602	730916	0.000823624055295
AKR1B1P6	6	141233	4.24829891031133e-05
AKR1C1	1388	730947	0.00189890648706404
AKR1C2	421	730943	0.000575968303958038
AKR1C3	4779	730944	0.00653812056737589
AKR1C4	653	730935	0.00089337629200955
AKR1C5P	589	728370	0.000808654941856474
AKR1C6P	204	296386	0.000688291619712132
AKR1C7P	18	186306	9.66152458858008e-05
AKR1C8P	1534	191229	0.0080217958573229
AKR1D1	504	730930	0.000689532513373374
AKR1E2	1615	730947	0.00220946251917034
AKR7A2	1558	730947	0.00213148148908197
AKR7A2P2	2	531415	3.76353697204633e-06
AKR7A3	539	730927	0.000737419742327209
AKR7L	1579	730875	0.00216042414913631
AKT1	61	730928	8.34555523936694e-05
AKT1S1	214	730928	0.000292778495282709
AKT2	60	730939	8.20861932391075e-05
AKT3	64	730938	8.75587259110896e-05
AKTIP	71	730939	9.71353286662772e-05
ALAD	90	730927	0.000123131311334784
ALAS1	553	730947	0.000756552800681855
ALAS2	11	547412.5	2.00945356563834e-05
ALB	255	730931	0.000348870139589099
ALCAM	84	730911	0.000114925072956899
ALDH16A1	966	730933	0.00132159855964911
ALDH18A1	258	730947	0.000352966767768388
ALDH1A1	50	730890	6.84097470207555e-05
ALDH1A2	126	730937	0.000172381477473435
ALDH1A2-AS1	61	76144	0.0008011136793444
ALDH1A3	144	730938	0.000197007133299952
ALDH1A3-AS1	5	712591	7.01664769832906e-06
ALDH1B1	7568	730947	0.0103536918545394
ALDH1L1	1216	730946	0.00166359758450009
ALDH1L1-AS1	16	730686	2.18972308214472e-05
ALDH1L2	2689	730945	0.00367879936246913
ALDH2	442	730943	0.000604698314369246
ALDH3A1	1461	730935	0.00199880974368446
ALDH3A2	446	730947	0.000610167358235276
ALDH3B1	384	730922	0.000525363855513995
ALDH3B2	1076	730939	0.00147207906542133
ALDH4A1	815	730943	0.00111499802310166
ALDH5A1	999	730947	0.00136672015891713
ALDH6A1	342	730947	0.000467886180530189
ALDH7A1	744	730942	0.00101786461853334
ALDH8A1	452	730946	0.000618376733712203
ALDH9A1	950	730942	0.00129969272527779
ALDOA	231	730947	0.000316028385094952
ALDOAP1	27	347229	7.77584821544283e-05
ALDOB	757	730946	0.00103564421995606
ALDOC	157	730945	0.000214790442509354
ALG1	511	730947	0.000699093094300955
ALG10	546	730942	0.000746981292633342
ALG10B	1232	730946	0.0016854870264014
ALG11	319	730944	0.000436421942036599
ALG12	581	730947	0.000794859271602455
ALG13	1649	549051	0.0030033639862235
ALG13-AS1	74	56186	0.001317054070409
ALG14	433	730943	0.000592385452764443
ALG1L	44	729739	6.02955303197445e-05
ALG1L10P	21	728073	2.88432615960213e-05
ALG1L11P	8	75981	0.000105289480264803
ALG1L12P	1	68031	1.46991812556041e-05
ALG1L13P	105	722142	0.000145400766054322
ALG1L2	910	730669	0.00124543397899733
ALG1L3P	6189	729730	0.00848121908102997
ALG1L5P	82	727376	0.000112733991773168
ALG1L6P	28	725023	3.86194644859542e-05
ALG1L7P	209	725158	0.000288213051500501
ALG1L8P	2841	729624	0.00389378638860564
ALG1L9P	27	728235	3.70759438917382e-05
ALG2	497	730947	0.000679939858840655
ALG3	253	730848	0.000346173212487412
ALG5	91	730887	0.000124506250624241
ALG6	355	730916	0.000485691926295224
ALG8	1243	730945	0.00170053834419826
ALG9	271	730940	0.000370755465564889
ALK	2000	730947	0.00273617649432859
ALKAL1	146	730867	0.000199762747531357
ALKAL2	236	730844	0.00032291432918653
ALKBH1	980	730947	0.00134072648222101
ALKBH2	583	730946	0.000797596539279235
ALKBH3	3147	730946	0.00430537960396527
ALKBH3-AS1	19	77530	0.000245066425899652
ALKBH4	116	730935	0.00015870084207214
ALKBH5	9	730907	1.23134680609161e-05
ALKBH6	124	730911	0.00016965129817447
ALKBH7	412	730886	0.000563699400453696
ALKBH8	638	730779	0.000873040960399793
ALLC	2977	730851	0.004073333689083
ALMS1	4410	730945	0.006033285678129
ALMS1P1	730	723530	0.00100894226915263
ALOX12	548	730946	0.000749713385120105
ALOX12-AS1	32	730946	4.37788838026338e-05
ALOX12B	416	730947	0.000569124710820347
ALOX12P1	42	76125	0.000551724137931035
ALOX12P2	58	76149	0.000761664631183601
ALOX15	1423	730946	0.00194679223909837
ALOX15B	2779	730946	0.00380192244023498
ALOX15P1	53	714598	7.41675739366749e-05
ALOX15P2	906	563873	0.001606744781183
ALOX5	331	730947	0.000452837209811382
ALOX5AP	39	730942	5.33558066166673e-05
ALOXE3	862	730947	0.00117929206905562
ALOXE3P1	23	102192	0.000225066541412244
ALPG	444	730893	0.000607476060107293
ALPI	1196	730930	0.00163627159919555
ALPK1	3135	730947	0.00428895665486007
ALPK2	6338	730946	0.00867095517315917
ALPK3	1351	730946	0.00184828975054245
ALPL	1204	730947	0.00164717824958581
ALPP	585	730934	0.000800345858860034
ALS2	644	730946	0.000881050036528006
ALS2CL	4260	730936	0.00582814364048289
ALX1	57	730936	7.7982203640264e-05
ALX3	104	730943	0.000142281956322176
ALX4	165	730947	0.000225734560782109
ALYREF	142	728749	0.000194854469783149
AMACR	174	730947	0.000238047355006587
AMBN	1487	730929	0.00203439732176449
AMBP	790	730947	0.00108078971525979
AMBRA1	304	730943	0.00041590110309559
AMD1	34	730852	4.65210466688194e-05
AMD1P1	2	76150	2.62639527248851e-05
AMD1P3	3	328731	9.12600271954881e-06
AMDHD1	608	730947	0.000831797654275891
AMDHD2	213	730445	0.000291603063885713
AMELX	42	549134	7.64840639989511e-05
AMER1	61	549108	0.000111089257486687
AMER2	126	730947	0.000172379119142701
AMER3	740	730798	0.00101259171481039
AMFR	235	730939	0.000321504256853171
AMH	878	729792	0.0012030825221433
AMHR2	524	730947	0.000716878241514091
AMIGO1	7	730927	9.57687977048324e-06
AMIGO2	185	730947	0.000253096325725395
AMIGO3	411	730777	0.000562415073271326
AMMECR1	14	547551	2.55683945422436e-05
AMMECR1L	34	730947	4.6515000403586e-05
AMN	493	730478	0.000674900544574922
AMN1	177	730844	0.000242185746889897
AMOT	29	549109	5.28128295110807e-05
AMOTL1	277	730856	0.000379007629409897
AMOTL2	225	730946	0.000307820276737269
AMPD1	1871	730947	0.0025596931104444
AMPD2	386	730934	0.000528091455589698
AMPD3	799	730947	0.00109310250948427
AMPH	167	730946	0.000228471049844995
AMT	260	730947	0.000355702944262717
AMTN	214	730900	0.000292789711314817
AMY1A	15	642539	2.33448864582539e-05
AMY1B	25	396322	6.30800207911749e-05
AMY1C	47	649718	7.23390763377342e-05
AMY2A	213	729638	0.000291925585016131
AMY2B	728	730783	0.000996191755965861
AMYP1	96	564913	0.000169937671818492
AMZ1	5421	730464	0.00742131029044552
AMZ2	8750	730947	0.0119707721626876
AMZ2P1	44	715954	6.14564622866832e-05
